date_key,date,year,month,day,quarter,day_of_week,month_name,week_of_year
20161007,2016-10-07,2016,10,7,4,Friday,October,40
20161012,2016-10-12,2016,10,12,4,Wednesday,October,41
20161103,2016-11-03,2016,11,3,4,Thursday,November,44
20170112,2017-01-12,2017,1,12,1,Thursday,January,2
20170119,2017-01-19,2017,1,19,1,Thursday,January,3
20170123,2017-01-23,2017,1,23,1,Monday,January,4
20170602,2017-06-02,2017,6,2,2,Friday,June,22
20170727,2017-07-27,2017,7,27,3,Thursday,July,30
20170817,2017-08-17,2017,8,17,3,Thursday,August,33
20180110,2018-01-10,2018,1,10,1,Wednesday,January,2
20180125,2018-01-25,2018,1,25,1,Thursday,January,4
20160312,2016-03-12,2016,3,12,1,Saturday,March,10
20160806,2016-08-06,2016,8,6,3,Saturday,August,31
20161023,2016-10-23,2016,10,23,4,Sunday,October,42
20170309,2017-03-09,2017,3,9,1,Thursday,March,10
20170829,2017-08-29,2017,8,29,3,Tuesday,August,35
20160313,2016-03-13,2016,3,13,1,Sunday,March,10
20180109,2018-01-09,2018,1,9,1,Tuesday,January,2
20180422,2018-04-22,2018,4,22,2,Sunday,April,16
20180907,2018-09-07,2018,9,7,3,Friday,September,36
20160305,2016-03-05,2016,3,5,1,Saturday,March,9
20160913,2016-09-13,2016,9,13,3,Tuesday,September,37
20161025,2016-10-25,2016,10,25,4,Tuesday,October,43
20170220,2017-02-20,2017,2,20,1,Monday,February,8
20170221,2017-02-21,2017,2,21,1,Tuesday,February,8
20170702,2017-07-02,2017,7,2,3,Sunday,July,26
20171127,2017-11-27,2017,11,27,4,Monday,November,48
20180315,2018-03-15,2018,3,15,1,Thursday,March,11
20160418,2016-04-18,2016,4,18,2,Monday,April,16
20170423,2017-04-23,2017,4,23,2,Sunday,April,16
20170517,2017-05-17,2017,5,17,2,Wednesday,May,20
20170719,2017-07-19,2017,7,19,3,Wednesday,July,29
20170804,2017-08-04,2017,8,4,3,Friday,August,31
20180107,2018-01-07,2018,1,7,1,Sunday,January,1
20160114,2016-01-14,2016,1,14,1,Thursday,January,2
20160229,2016-02-29,2016,2,29,1,Monday,February,9
20160522,2016-05-22,2016,5,22,2,Sunday,May,20
20170418,2017-04-18,2017,4,18,2,Tuesday,April,16
20170704,2017-07-04,2017,7,4,3,Tuesday,July,27
20170801,2017-08-01,2017,8,1,3,Tuesday,August,31
20170820,2017-08-20,2017,8,20,3,Sunday,August,33
20180710,2018-07-10,2018,7,10,3,Tuesday,July,28
20160127,2016-01-27,2016,1,27,1,Wednesday,January,4
20160302,2016-03-02,2016,3,2,1,Wednesday,March,9
20160505,2016-05-05,2016,5,5,2,Thursday,May,18
